1,2,3,4,5,6,7,8,9,10
The Lviv pogroms controversy (1941),195318697,False,True,Bandurist,UNKNOWN,civilians.,civilians in Lviv.,"Controversy has arisen numerous times and from various sources as to the involvement of Theodor Oberländer, Roman Shukhevych and the Nachtigall Battalion in the murder of these civilians.","Controversy and confusion has arisen numerous times and a variety sources as to the involvement of Theodor Oberländer, Roman Shukhevych and the Nachtigall Battalion in the murder of these civilians in Lviv."
The Lviv pogroms controversy (1941),195318697,False,True,Bandurist,UNKNOWN,naming,and to name,The Soviets formed a special commission which examined the crimes specifically naming the culprits.,The Soviets formed a special commission to examine the crimes specifically and to name the culprits.
The Lviv pogroms controversy (1941),195318697,False,True,Bandurist,UNKNOWN,Battalion.,Battalion from the Soviet Union.,"No new documents were forthcoming except falsified written ""eye-witness"" statements by former members of the Nachtigall Battalion.","No new documents were forthcoming except falsified written ""eye-witness"" statements by former members of the Nachtigall Battalion from the Soviet Union."
The Lviv pogroms controversy (1941),195318697,False,True,Bandurist,UNKNOWN,Germans.,Germans in the Adenauer government.,"Teodor Oberlander had in 1953 become Minister of Victims of War, deported and repatriated Germans.","Teodor Oberlander had in 1953 become Minister of Victims of War, deported and repatriated Germans in the Adenauer government."
Transcendental Meditation,39064569,False,True,Lumiere,UNKNOWN,had,reported,"According the paper, the subjects all either had a negative experience with the practice of TM or had rejected the organization of the TM and its representatives.","According the paper, the subjects all either reported a negative experience with the practice of TM or had rejected the organization of the TM and its representatives."
Transcendental Meditation,59264188,False,True,Gatoclass,MINOR,revealed,indicated,"The first research on the Transcendental Meditation technique, conducted at UCLA and Harvard Medical Schools and published from 1970 to 1972 in Science, American Journal of Physiology, and Scientific American, revealed that the Transcendental Meditation technique produces a unique state  which they called “restful alertness” in the mind and body, otherwise referred to as ""transcendental consciousness"" .","The first research on the Transcendental Meditation technique, conducted at UCLA and Harvard Medical Schools and published from 1970 to 1972 in Science, American Journal of Physiology, and Scientific American, indicated that the Transcendental Meditation technique produces a state which they called “restful alertness” in the mind and body, otherwise referred to as ""transcendental consciousness"" ."
Transcendental Meditation,59267389,False,True,Gatoclass,UNKNOWN,of,between,"There is no known connection between meditation states and states of matter in physics, he wrote.","There is no known connection between meditation states and states of matter in physics, he wrote."
Transcendental Meditation,59271100,False,True,Gatoclass,UNKNOWN,shows,has found,"A body of scientific research shows positive effects from Transcendental Meditation but unknown critics have raised questions about the integrity of the scientists who conducted the studies, and possible negative effects of Transcendental Meditation.",A body of scientific research has found positive effects from Transcendental Meditation but critics have raised questions about the validity of much of this research and about the nature of the TM Movement itself.
Transcendental Meditation,60051177,False,True,Gatoclass,UNKNOWN,thinking.,the mind.,"The TM organization encourages practitioners to keep their mantra private and never to repeat it aloud, since doing the latter would have a disruptive influence of the desired effect of guiding the meditator's attention inward toward subtler levels of thinking.","The TM organization encourages practitioners to keep their mantra private and never to repeat it aloud, since doing this would allegedly disrupt the desired effect of guiding the meditator's attention inward toward ""subtler"" levels of the mind."
Transcendental Meditation,60051177,False,True,Gatoclass,UNKNOWN,claimed,asserted,Ex-TM teachers have claimed that the mantras used in TM are based on the age and gender of the initiate.,Ex-TM teachers have asserted that the mantras used in TM are based on the age and gender of the initiate.
Transcendental Meditation,68398660,False,True,Hanumandas,UNKNOWN,is,being,"The process includes an introductory lecture, group instruction, personal interview and instruction, and a free lifetime-followup program called ""checking,"" to assure that the technique is being performed properly .","The process includes an introductory lecture, group instruction, personal interview and instruction, and a free lifetime-followup program called ""checking,"" to assure that the technique is being performed properly ."
Transcendental Meditation,184975373,True,True,Littleolive oil,UNKNOWN,notes,says,"Cult followers, according to Orme–Johnson allegedly operate on blind faith, and adherence, usually rigid, to arbitrary rules and authority, whereas Orme-Johnson notes that these studies indicate the ability of TM practitioners to make mature, independent, principle-based judgments.","Cult followers, according to Orme–Johnson allegedly operate on blind faith, and adherence, usually rigid, to arbitrary rules and authority, whereas Orme-Johnson says that these studies indicate the ability of TM practitioners to make mature, independent, principle-based judgments."
Transcendental Meditation,185009892,True,True,Littleolive oil,UNKNOWN,commented,said,"Steve Hassan, author of several books on cults, and at one time a CAN deprogrammer  commented in the same press conference that TM practitioners display cult–like behaviors.","Steve Hassan, author of several books on cults, and at one time a CAN deprogrammer  said in the same press conference that TM practitioners display cult–like behaviors."
Transcendental Meditation,255724389,True,True,Littleolive oil,UNKNOWN,allows,is describes as allowing,"The Transcendental Meditation technique is a technique that with the use of a thought, in this case a specific sound (mantra) to which no meaning is assigned, allows the mind to travel in a systematic, natural way from the grosser levels of thought at the conscious level, through the layers of subconscious thought, eventually transcending the thought itself to transcendental Being.","The Transcendental Meditation technique is a technique that with the use of a thought, in this case a specific sound (mantra) to which no meaning is assigned,  is describes as allowing the mind to travel in a systematic, natural way from the grosser levels of thought at the conscious level, through the layers of subconscious thought, eventually transcending the thought itself to transcendental Being."
Transcendental Meditation,316171576,True,True,Keithbob,UNKNOWN,celebrities,entertainers,"Beginning in 1968, a number of well known musicians and celebrities, such as Donovan, The Beatles and members of The Beach Boys, as well as Doug Henning, Clint Eastwood, Deepak Chopra, Andy Kaufman, Jane Fonda, Shirley MacLaine and Kurt Vonnegut reported using the technique.","Beginning in 1968, a number of authors and entertainers, such as Donovan, The Beatles and members of The Beach Boys, as well as Doug Henning, Clint Eastwood, Deepak Chopra, Andy Kaufman, Jane Fonda, Shirley MacLaine and Kurt Vonnegut reported using the technique."
Yaakov Shwekey,280836640,False,True,Joe407,UNKNOWN,are,have been,"Shwekey's albums are arranged by many talented arrangers, including Yanky Briskman, Moshe Laufer, and Yisroel Lamm.","Shwekey's albums have been arranged by many different arrangers, including Yanky Briskman, Moshe Laufer, and Yisroel Lamm."
Nicolas Sarkozy,58374607,True,True,Travelbird,UNKNOWN,agitation,ubiquity,"He is known for his agitation, is active in a wide range of political fields, and often appears on TV talk and news shows.","He is known for his ubiquity, is active in a wide range of political fields, and often appears on TV talk and news shows."
Nicolas Sarkozy,58374607,True,True,Travelbird,UNKNOWN,demagogy,plainspoken character,"Many of his speeches and interviews are famous for their frankness, humor, plain-spoken character, populism and demagogy; opponents, however, contend that he uses demeaning language, especially when the epiteths he uses against urban gangsters (notably calling them ""racaille,"" or ""scum"") are interpreted as targeting youth from poor urban areas in general.","Many of his speeches and interviews are famous for their frankness, humor and plain-spoken character; opponents, however, contend that he uses demeaning language, especially when the epiteths he uses against urban gangsters (notably calling them ""racaille,"" or ""scum"") are interpreted as targeting youth from poor urban areas in general."
Trap-Neuter-Return,80711145,False,True,WikiCats,UNKNOWN,proponents,groups,"TNR proponents disagree, saying that although sterilization does not effect the ability of cats to hunt, TNR programs reduce total predatory impact by feral cats to the extent that the population of each colony is reduced.","TNR groups disagree, saying that although sterilization does not effect the ability of cats to hunt, TNR programs reduce total predatory impact by feral cats to the extent that the population of each colony is reduced."
The New Deal and corporatism,94629431,False,True,Cberlet,UNKNOWN,bore,comparison,"One of these programs was the National Recovery Administration, which, with its codes and industry organizations, bore a certain resemblance, as an economic institution, to Mussolini's corporatism.","This comparison was made at the time, and it was not always a critical one; even Winston Churchill had moderately praised Mussolini."
The New Deal and corporatism,94629431,False,True,Cberlet,UNKNOWN,necessarily,always,"This was a commonplace comparison at the time, and not necessarily a critical one; even Winston Churchill had moderately praised Mussolini.","This comparison was made at the time, and it was not always a critical one; even Winston Churchill had moderately praised Mussolini."
Basquiat (film),19885718,False,True,Lockeownzj00,MINOR,fantastic,accurate,Schnabel himself did the fantastic reproductions of Basquiat's work that appeared in the film.,Schnabel himself did the accurate reproductions of Basquiat's work that appeared in the film.
Muawiyah I,161267081,False,True,Wasell,MINOR,Muslims,Shi'a," Most Shi'a Muslims say that he never pledged allegiance, merely ceased to advance his claim to the caliphate."," Most Shi'a Muslims say that he never pledged allegiance, merely ceased to advance his claim to the caliphate."
Muawiyah I,402711864,False,True,AtticusX,UNKNOWN,formation,Shia criticism and vilification,Muawiyah I had planned the formation of the Umayyad Dynasty ever since he took control of Damascus.,"Many Sunni historians view Muawiyah as a companion of Muhammad, and hence worthy of respect for this reason, and many Sunnis Muslims indeed revere him, taking great issue with the Shia criticism and vilification of him."
Hannity,364895332,True,True,Niteshift36,UNKNOWN,numerous,some,"The factual accuracy of numerous statements and video used by Hannity have been called into question by media watchdog groups and major media outlets: On June 18, 2009, when discussing the government’s “Cash for Clunkers” program that gave financial incentives to consumers who traded in older vehicles for new, fuel efficient ones, Hannity said "".","The factual accuracy of some statements and video used by Hannity have been called into question by media watchdog groups and major media outlets: On June 18, 2009, when discussing the government’s “Cash for Clunkers” program that gave financial incentives to consumers who traded in older vehicles for new, fuel efficient ones, Hannity said ""."
Olive oil,15272300,False,True,Jhortman,UNKNOWN,It,Olive Oil,It was poured daily into the seven cups of the golden candelabrum in the Holy Temple in Jerusalem.,Olive Oil was poured daily into the seven cups of the golden candelabrum in the Holy Temple in Jerusalem.
Olive oil,94721992,False,True,Macrakis,UNKNOWN,oil.,oil imported from Italy.,"Much of the Spanish crop is exported to Italy, where it is both consumed and repackaged for sale abroad as Italian olive oil.","Much of the Spanish crop is exported to Italy, where it is both consumed and repackaged for sale abroad as olive oil ""imported from Italy""."
Chagos Archipelago,127181271,False,True,Gaimhreadhan,UNKNOWN,Archipelago.,roughly,PNG|thumb|right|Map of the Chagos Archipelago.]],The Chagos Archipelago is a group of seven atolls with more than 60 individual tropical islands roughly in the centre of the Indian Ocean.
Semir Osmanagić,423723898,True,True,Slatersteven,UNKNOWN,distinguished,the,"He is a member of Archaeological Society of Alexandria, Egypt and according to his website Foreign member of distinguished Russian Academy of Natural Sciences from Moscow, Russia.","He is a member of Archaeological Society of Alexandria, Egypt and according to his website Foreign member of the Russian Academy of Natural Sciences from Moscow, Russia."
Women for Palestine,140037060,False,True,LaszloWalrus,UNKNOWN,illegal,allegedly,";""67""An event marking 40 years of illegal Israeli occupation of Palestinian lands.",";""67""An event marking 40 years of Israeli occupation of allegedly Palestinian lands."
"Boulder, Colorado",34676939,False,True,130.253.166.165,UNKNOWN,crowds,riots,"Between the 1997 and 2004 incidents, police were dispatched eight times to suppress crowds in the University Hill neighborhood and the downtown Pearl Street Mall.","Between the 1997 and 2004 incidents, police were dispatched eight times to suppress riots in the University Hill neighborhood and the downtown Pearl Street Mall."
"Boulder, Colorado",35237224,False,True,67.162.135.194,UNKNOWN,bastion,cul de sac," Although in Denver, Democrats hold a virtual monopoly over city politics, Boulder gains more attention for being Colorado's bastion of liberalism with nicknames like ""The Berkeley of the Rockies"" and ""The People's Republic of Boulder""."," Although in Denver, Democrats hold a virtual monopoly over city politics, Boulder gains more attention for being Colorado's cul de sac of liberalism with nicknames like ""The Berkeley of the Rockies"" and ""The People's Republic of Boulder""."
"Boulder, Colorado",231756348,False,True,Moncrief,UNKNOWN,very,relatively,"Additionally, warm chinook winds occur as air passing over the mountains heats as it descends, in addition to the sunshine, quickly melting snow accumulations and making Boulder's winters very mild.","Additionally, warm chinook winds occur as air passing over the mountains heats as it descends, in addition to the sunshine, quickly melting snow accumulations and making Boulder's winters relatively mild."
Juan Manuel Santos,267475536,False,True,SqueakBox,UNKNOWN,Scandals,Issues,As Defense Minister he has direct responsibility on different scandal situations:1.,As Defense Minister he has direct responsibility on different situations:1.
Bengal famine of 1943,153107792,False,True,DemolitionMan,UNKNOWN,famine,Genocide,The Bengal famine of 1943 is one amongst the several Famines that occurred in British administered undivided Bengal (now independent Bangladesh and the Indian state of West Bengal) in 1943.,The Bengal Genocide of 1943 is one amongst the several Famines that occurred in British administered undivided Bengal (now independent Bangladesh and the Indian state of West Bengal) in 1943.
Grey alien,38419162,False,True,GreatAlfredini,UNKNOWN,Supposedly,Reportedly,"The Hill Abduction incident also involved creatures vaguely similar to Greys, and probably represents the prototypical story of alleged human encounters with these beings.","The Hill Abduction incident also involved creatures vaguely similar to Greys, and probably represents the prototypical story of alleged human encounters with these beings."
Miss Construction,288619752,False,True,74.56.135.39,UNKNOWN,It,Miss Construction,It was formed by singer Chris Pohl in 2008.,Miss Construction was formed by singer Chris Pohl in 2008.
The Independent Institute,148494078,False,True,DickClarkMises,UNKNOWN,claims,asserts,The Institute is a member organization of the Cooler Heads Coalition which claims that global warming is a myth.,The Institute is a member organization of the Cooler Heads Coalition which asserts that the theory of global warming is a myth.
Pacifism,147119910,False,True,Carolmooredc,UNKNOWN,disputes.,disputes or gaining advantage.,Pacifism is the opposition to war or violence as a means of settling disputes.,Pacifism is the opposition to war or violence as a means of settling disputes or gaining advantage.
Raymond Allen Davis incident,419756892,False,True,Bevinbell,UNKNOWN,victims.,deceased.,"U.S. Secretary of State Hillary Clinton stated that the U.S. government had not paid money for Davis to be released; however, a senior Pakistani official stated that between $1.4 and $3 million had been paid to families of the victims.","U.S. Secretary of State Hillary Clinton stated that the U.S. government had not paid money for Davis to be released; however, a senior Pakistani official stated that between $1.4 and $3 million had been paid to families of the deceased."
Ethnic minorities in Iran,138238188,True,True,Hajji Piruz,UNKNOWN,country,state,"Iran is an ethnically diverse country, with Persians forming slightly over a half of the population.","Iran is an ethnically diverse state, with Persians forming the majority of the population."
Ethnic minorities in Iran,138276198,True,True,Ehud Lesar,UNKNOWN,state,country,"Iran is an ethnically diverse state, with Persians forming the majority of the population.","Iran is an ethnically diverse country, with Persians forming slightly over a half of the population."
Ethnic minorities in Iran,140598146,True,True,Refdoc,UNKNOWN,interference,involvment,"Foreign governments, both beforeThe Strangling of Persia: Story of the European Diplomacy and Oriental Intrigue That Resulted in the Denationalization of Twelve Million Mohammedans, Morgan Shuster, 1987 edition.","Foreign governments, both beforeThe Strangling of Persia: Story of the European Diplomacy and Oriental Intrigue That Resulted in the Denationalization of Twelve Million Mohammedans, Morgan Shuster, 1987 edition."
Magic Solutions,493575712,True,True,Soulparadox,UNKNOWN,way,course of its growth,"Along the way, Magic Solutions avoided venture capital and kept the original management team in place.","During the course of its growth, Magic Solutions avoided venture capital and retained the original management team."
Magic Solutions,493576260,True,True,Soulparadox,UNKNOWN,kept,maintained,"To this point in time, Igal had kept Magic Solutions completely independent."," Until this point in time, Lichtman had maintained Magic Solutions' independence as a company, but he was forced to make choices about the company's future from a limited set of options."
Sheldon Chumir,426056845,True,True,Orangemike,UNKNOWN,Sheldon,Chumir,"png|thumb|200px|Sheldon Chumir 1986 campaign brochure]]Sheldon Chumir (1940 - January 26, 1992) was a Canadian lawyer and Liberal Party politician from Alberta.","png|thumb|200px|Sheldon Chumir 1986 campaign brochure]]Sheldon Chumir (1940 - January 26, 1992) was a Canadian lawyer and Liberal Party politician from Alberta."
Sheldon Chumir,426056845,True,True,Orangemike,UNKNOWN,Sheldon,He,Sheldon was part of a group 4 Liberal MLAs elected that election who brought the party back to the Legislative Assembly of Alberta for the first time since 1969.,He was part of a group of four Liberal MLAs elected that election who brought the party back to the Legislative Assembly of Alberta for the first time since 1969.
Ephraim Buchwald,394291047,True,True,DGG,UNKNOWN,across,in,"These programs are now offered at more than 3,829 locations across North America  and in 39 countries worldwide (as advertised by NJOP as of as of 1/10).","These programs are now offered at more than 3,829 locations across North America  and in 39 countries worldwide (as advertised by NJOP as of as of 1/10)."
Mikheil Saakashvili,68956049,False,True,Kober,UNKNOWN,are,have been some,There are concerns about Saakashvili's authoritarian tendencies.,There have been some concerns about Saakashvili's authoritarian tendencies.
Mikheil Saakashvili,79572366,False,True,Sosomk,UNKNOWN,bloodless,peaceful,"He succeeded, on January 25, 2004, Nino Burjanadze, who acted as a president after President Eduard Shevardnadze stepped down in Georgia's 2003 bloodless Rose Revolution, led by Saakashvili and his major political allies, Burjanadze and Zurab Zhvania.","He succeeded, on January 25, 2004, Nino Burjanadze, who acted as a president after President Eduard Shevardnadze stepped down in Georgia's 2003 peaceful Rose Revolution, led by Saakashvili and his major political allies, Burjanadze and Zurab Zhvania."
DREAM Act,124581101,False,True,BulldogPete,UNKNOWN,undocumented.,illegal aliens.,"The DREAM Act would also repeal Section 505 of the Illegal Immigration Reform and Immigrant Responsibility Act of 1996, which currently puts limits on states' ability to provide in-state tuition to residents who are undocumented.","The DREAM Act would also repeal Section 505 of the Illegal Immigration Reform and Immigrant Responsibility Act of 1996, which currently puts limits on states' ability to provide in-state tuition to residents who are illegal aliens."
DREAM Act,124581101,False,True,BulldogPete,UNKNOWN,immigrant,alien,"To qualify, the immigrant student would have to meet certain requirements such as:*Proof of having arrived in the United States before reaching 16 years of age;*Proof of residence in the United States for a least five (5) consecutive years since their date of arrival.","To qualify, the alien student would have to meet certain requirements such as:*Proof of having arrived in the United States before reaching 16 years of age;*Proof of residence in the United States for a least five (5) consecutive years since their date of arrival."
DREAM Act,124581101,False,True,BulldogPete,UNKNOWN,Immigrants,Aliens,"Immigrants who meet the above requirements would be eligible to apply for a temporary six (6) year ""conditional"" residence permit which would allow them to live legally in the United States, obtain driver's licenses, attend college as in-state residents, work legally (including obtaining a social security number), and apply for special travel documents which allow for travel outside of the country for limited amounts of time.","Aliens who meet the above requirements would be eligible to apply for a temporary six (6) year ""conditional"" residence permit which would allow them to live legally in the United States, obtain driver's licenses, attend college as in-state residents, work legally (including obtaining a social security number), and apply for special travel documents which allow for travel outside of the country for limited amounts of time."
DREAM Act,124581101,False,True,BulldogPete,UNKNOWN,immigrants,aliens,"During their temporary time, immigrants would not be eligible for federal higher education grants such as Pell grants, though they would be able to apply for student loans and work study.","During their temporary time, aliens would not be eligible for federal higher education grants such as Pell grants, though they would be able to apply for student loans and work study."
DREAM Act,124581101,False,True,BulldogPete,UNKNOWN,argue,claim,They argue that forcing these young people into the shadows and preventing them from completing their education and achieving their potential is a costly waste of their talents and abilities.,"They claim that forcing these young people ""into the shadows"" and preventing them from completing their education and achieving their potential is a costly waste of their talents and abilities."
DREAM Act,224214204,False,True,Jersey Devil,UNKNOWN,enable,provide highachieving high school,"The Development, Relief and Education for Alien Minors Act (also called ""The DREAM Act"") is a piece of proposed federal legislation in the United States that would enable students who immigrated to the U.S. as children to further their education, get better jobs, and, as a result, pay more in taxes, contributing more to the economic prosperity necessary to sustain a strong middle class.","The Development, Relief and Education for Alien Minors Act (also called ""The DREAM Act"") is a piece of proposed federal legislation in the United States that would provide high-achieving high school students who are long-term illegal immigrants, and who wish to serve in the armed forces or attend college to be able to gain legal status."
DREAM Act,386197066,False,True,TJRC,UNKNOWN,illegal,inadmissible or deportable,"This bill would provide certain illegal alien students who graduate from US high schools, who are of good moral character, arrived in the U.S. as minors, and have been in the country continuously for at least five years prior to the bill's enactment, the opportunity to earn conditional permanent residency.","This bill would provide certain inadmissible or deportable alien students who graduate from US high schools, who are of good moral character, arrived in the U.S. as minors, and have been in the country continuously for at least five years prior to the bill's enactment, the opportunity to earn conditional permanent residency."
DREAM Act,401528927,False,True,ElKevbo,UNKNOWN,illegal,undocumented,"Among other things, S. 3992: # Does not repeal the ban on in-state tuition for illegal immigrants.","Among other things, S. 3992: # Does not repeal the ban on in-state tuition for undocumented immigrants."
DREAM Act,480750172,False,True,Wtmitchell,UNKNOWN,undocumented,illegal,"This bill would provide conditional permanent residency to certain undocumented aliens of good moral character who graduate from US high schools, arrived in the US as minors, and lived in the country continuously for at least five years prior to the bill's enactment.","This bill would provide conditional permanent residency to certain illegal aliens of good moral character who graduate from US high schools, arrived in the US as minors, and lived in the country continuously for at least five years prior to the bill's enactment."
DREAM Act,495478462,False,True,Factchecker atyourservice,UNKNOWN,undocumented,illegal, This bill would have included undocumented immigrants as old as 35 years of age., This bill would have included illegal immigrants as old as 35 years of age.
DREAM Act,495478462,False,True,Factchecker atyourservice,UNKNOWN,documented,legal," This bill would provide conditional permanent residency to certain Undocumented Immigrants of good moral character who graduate from U.S. high schools, arrived in the United States as minors, and lived in the country continuously for at least five years prior to the bill's enactment."," This bill would provide conditional permanent residency to certain illegal aliens of good moral character who graduate from U.S. high schools, arrived in the United States as minors, and lived in the country continuously for at least five years prior to the bill's enactment."
DREAM Act,495478462,False,True,Factchecker atyourservice,UNKNOWN,undocumented.,illegal.," In August, the state of Illinois authorized a privately-funded scholarship plan for children of immigrants both documented and undocumented."," In August, the state of Illinois authorized a privately-funded scholarship plan for children of immigrants both legal and illegal."
Brown Berets,111062218,True,True,68.80.22.212,UNKNOWN,community.,community and,the community only wanted a school built in their community.,"The community  wanted a school built in their community, and in 1979 a School was built in the Pilson community now called the Benito Juarez High School."
2001–2002 India–Pakistan standoff,474043333,False,True,TopGun,UNKNOWN,terrorists,men,"Offensive military build up was initiated by India in response to a terrorist attack on the Indian Parliament on December 13, 2001 during which twelve people, including the five terrorists who attacked the building, were killed.","Offensive military build up was initiated by India in response to a terrorist attack on the Indian Parliament on December 13, 2001 during which twelve people, including the five men who attacked the building, were killed."
Pop music,19705436,True,True,Martpol,UNKNOWN,this,the lipsynch approach,The singer mostly critized for this is Britney Spears.,One singer often criticised for the lip-synch approach is Britney Spears.
Enterprise application integration,81693311,False,True,AJackl,UNKNOWN,it,there,"*Accountability**Since so many departments have many conflicting requirements, there should be clear accountability for the system's final structure.","*Accountability**Since so many departments have many conflicting requirements, there should be clear accountability for the system's final structure."
Enterprise application integration,81693311,False,True,AJackl,UNKNOWN,bus,centralized broker,Individual applications can publish messages to the bus and subscribe to receive certain messages from the bus.,Individual applications can publish messages to the centralized broker and subscribe to receive certain messages from that broker.
Enterprise application integration,81693311,False,True,AJackl,UNKNOWN,bus.,broker.,Each application only requires one connection to the bus.,Each application only requires one connection to the broker.
"Human rights in Punjab, India",292383291,False,True,202.54.176.51,UNKNOWN,civilians.,several civilians militants and soldiers.,The Operation killed thousands of civilians.,"The Operation was controversial and resulted in death of several civilians, militants and soldiers."
"Human rights in Punjab, India",292383291,False,True,202.54.176.51,UNKNOWN,alienating,instigating,"After Sikh bodyguards assassinated Prime Minister Indira Ghandi death squads slaughtered thousands of Sikhs in New Delhi and other cities in northern India, further alienating the minority Sikh population from the majority-Hindu Indian state.","After Sikh bodyguards assassinated Prime Minister Indira Ghandi, Congress mobs killed thousands of Sikhs in New Delhi and other cities in northern India, further instigating the Punjab insurgency."
Irgun,11356285,False,True,Doron,UNKNOWN,assert,leaders argued,"In their defense, former leaders Etzel assert that:* The premises for their founding and strategy were in fact vindicated by subsequent events.","In their defense, former Etzel leaders argued that:* The premises for their founding and strategy were vindicated by subsequent events."
Irgun,67252598,True,True,Former user 2,UNKNOWN,terrorists,irregulars,"* From July 1946 until June 1948, Irgun fought as terrorists against the British mandate and Arab forces, informally in coordination with Haganah forces.","* From July 1946 until June 1948, Irgun fought as irregulars against the British mandate and Arab forces, informally in coordination with Haganah forces."
Irgun,77727918,True,True,Former user 2,UNKNOWN,terrorism,force,"Arab violence against Jews in the mandate of Palestine could only be deterred through retaliation; the British authorities only ended their restrictions on Jewish immigration when pressured by terrorism; and unrestricted Jewish immigration was a matter of saving lives, both during the Shoah (Holocaust) and during post-World War II pogroms in Poland and Ukraine.","Arab violence against Jews in the mandate of Palestine could only be deterred through retaliation; the British authorities only ended their restrictions on Jewish immigration when pressured by force; and unrestricted Jewish immigration was a matter of saving lives, both during the Shoah (Holocaust) and during post-World War II pogroms in Poland and Ukraine."
Irgun,77727918,True,True,Former user 2,UNKNOWN,execute.,hang.,"The King David Hotel bombing, in which 91 people were killed, most of them civilians, was considered a legitimate military target by Irgun, being the British military headquarters; the attack on Deir Yassin was part of a campaign to control the road between Jerusalem and Tel Aviv; the attack on the Acre prison was to release terrorist prisoners the British intended to execute.","The King David Hotel bombing, in which 91 people were killed, most of them civilians, was considered a legitimate military target, being the British military headquarters; the attack on Deir Yassin was part of a campaign to control the road between Jerusalem and Tel Aviv; the attack on the Acre prison was to release prisoners the British intended to hang."
Irgun,77727918,True,True,Former user 2,UNKNOWN,International,British,"Despite internation condemnation, members of Irgun celebrated the 60th anniversary of the bombing of the King David hotel which killed 92 British officials .",Members of Irgun celebrated the 60th anniversary of the bombing of the King David hotel which killed 92 British officials .
Irgun,106356018,False,True,Former user 2,UNKNOWN,terrorist,militant,"Irgun (ארגון), shorthand for Irgun Tsvai Leumi (ארגון צבאי לאומי, also spelled Irgun Zvai Leumi), Hebrew for ""National Military Organization"", was a clandestine terrorist Zionist group that operated in Palestine from 1931 to 1948.","Irgun (ארגון), shorthand for Irgun Tsvai Leumi (ארגון צבאי לאומי, also spelled Irgun Zvai Leumi), Hebrew for ""National Military Organization"", was a clandestine militant Zionist group that operated in Palestine from 1931 to 1948."
